School,Nickname,City,State,Conference,Division
Western New Mexico University,Mustangs,Silver City,New Mexico,Lone Star Conference,II
Western Oregon University,Wolves,Monmouth,Oregon,Great Northwest Athletic Conference,II
Western State Colorado University,Mountaineers,Gunnison,Colorado,Rocky Mountain Athletic Conference,II
Western Washington University,Vikings,Bellingham,Washington,Great Northwest Athletic Conference,II
Westfield State University,Owls,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Westminster College,Blue Jays,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference,III
Westminster College,Titans,New Wilmington,Pennsylvania,Presidents' Athletic Conference,III
Wheaton College,Thunder,Wheaton,Illinois,College Conference of Illinois and Wisconsin,III
Wheaton College,Lyons,Norton,Massachusetts,New England Women's and Men's Athletic Conference,III
Wheeling Jesuit University,Cardinals,Wheeling,West Virginia,Mountain East Conference,II
Wheelock College,Wildcats,Boston,Massachusetts,New England Collegiate Conference,III
Whitman College,Blues,Walla Walla,Washington,Northwest Conference,III
Whittier College,Poets,Whittier,California,Southern California Intercollegiate Athletic Conference,III
Whitworth University,Pirates,Spokane,Washington,Northwest Conference,III
Wichita State University,Shockers,Wichita,Kansas,Missouri Valley Conference,I
Widener University,Pride,Chester,Pennsylvania,MAC Commonwealth Conference,III
Wilkes University,Colonels,Wilkes-Barre,Pennsylvania,MAC Freedom Conference,III
Willamette University,Bearcats,Salem,Oregon,Northwest Conference,III
William Jewell College,Cardinals,Liberty,Missouri,Great Lakes Valley Conference,II
William Paterson University,Pioneers,Wayne,New Jersey,New Jersey Athletic Conference,III
William Peace University,Pacers,Raleigh,North Carolina,USA South Athletic Conference,III
William Smith College,Herons,Geneva,New York,Liberty League,III
Williams College,Ephs,Williamstown,Massachusetts,New England Small College Athletic Conference,III
Wilmington College,Quakers,Wilmington,Ohio,Ohio Athletic Conference,III
Wilmington University,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference,II
Wilson College,Phoenix,Chambersburg,Pennsylvania,North Eastern Athletic Conference,III
Wingate University,Bulldogs,Wingate,North Carolina,South Atlantic Conference,II
Winona State University,Warriors,Winona,Minnesota,Northern Sun Intercollegiate Conference,II
Winston–Salem State University,Rams,Winston–Salem,North Carolina,Central Intercollegiate Athletic Association,II
Winthrop University,Eagles,Rock Hill,South Carolina,Big South Conference,I
Wisconsin Lutheran College,Warriors,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
Wittenberg University,Tigers,Springfield,Ohio,North Coast Athletic Conference,III
Wofford College,Terriers,Spartanburg,South Carolina,Southern Conference,I
Worcester Polytechnic Institute,Engineers,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,III
Worcester State University,Lancers,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Wright State University,Raiders,Fairborn,Ohio,Horizon League,I
Xavier University,Musketeers,Cincinnati,Ohio,Big East Conference,I
Yale University,Bulldogs,New Haven,Connecticut,Ivy League,I
Yeshiva University,Maccabees,New York,New York,Skyline Conference,III
York College of Pennsylvania,Spartans,York,Pennsylvania,Capital Athletic Conference,III
York College, City University of New York,Cardinals,Queens,New York,City University of New York Athletic Conference,III
Young Harris College,Mountain Lions,Young Harris,Georgia,Peach Belt Conference,II
Youngstown State University,Penguins,Youngstown,Ohio,Horizon League,I
